FacID,Pre1_0809,Pre1c_0809,Pre2_0809,Pre3_0809,Pre4_0809,Pre5_0809,Pre6_0809,Pre6,Pre9,Pre9_0809,Pre10,PRESETOTAL,POSTSETOTAL,SECHANGE,Post1,Post1c,Post1d,Post1e,Post1g,Post2a,Post2b,Post2d,Post2e,Post2f,Post2g,Step1Q1A,Step1Q1B,Step1Q1C,Step1Q2_ComputerKeyDataSources,Step1Q3,Step2Q1,Step2Q2_ComputerSelectedPrinciples,Step2Q4,Step3Q1Apart1,Step3Q1Apart2,Step3Q1Bpart1,Step3Q1Bpart2,Step4Q2,Step4Q3,Step4Q4,Crosscutting,Step1sub,Step1subWO,Step2sub,Step2subWO,Step3sub,Step4sub,TotalScoreWO,TotalScore,Step1Q1A_3,Step1Q1B_3,Step1Q1C_3,Step1Q2_ComputerKeyDataSources_3,Step1Q3_3,Step2Q1_3,Step2Q2_ComputerSelectedPrinciples_3,Step2Q4_3,Step3Q1Apart1_3,Step3Q1Apart2_3,Step3Q1Bpart1_3,Step3Q1Bpart2_3,Step4Q2_3,Step4Q3_3,Step4Q4_3,Crosscutting_3,Step1sub_3,Step1subWO_3,Step2sub_3,Step2subWO_3,Step3sub_3,Step4sub_3,TotalScoreWO_3,TotalScore_3,BeforeSub,DuringSub,AfterSub,Step1Cert,Step2Cert,Step3Cert,Step4Cert,Step1Conf,Step2Conf,Step3Conf,Step4Conf,Step1Cert_3,Step2Cert_3,Step3Cert_3,Step4Cert_3,Step1Conf_3,Step2Conf_3,Step3Conf_3,Step4Conf_3
14,4,1,1,8,4,4,0,0.25,1,2,2,46,41,-5,2,1,2,2,1,2,2,3,4,4,4,0,0,0,1.125,3,2,3,2,3,3,3,3,3,3,3,3,4.125,3,7,4,12,9,31,35.125,3,2,0,1.125,3,2,3,2,3,3,0,2,3,2,1,3,9.125,8,7,4,8,6,29,33.125,9,0,7,3,3,4,3,5,5,5,5,3,3,3,3,5,5,5,5
5,2,1,1,8,0,3,2,0,0,1,3,31,39,8,4,2,2,4,0,2,3,4,5,5,4,1,1,0,0.75,2,2,2,0,2,3,2,2,3,1,1,3,4.75,4,4,2,9,5,23,25.75,1,0,0,0.75,0,2,3,2,1,1,1,2,1,1,1,1,1.75,1,7,4,5,3,14,17.75,9,0,5,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2
5,4,1,1,3,0,3,1,0.25,0,0,2,20,34,14,0,2,0,3,3,2,2,4,4,4,4,3,2,0,1.125,0,0,1,2,0,1,0,1,1,1,0,1,6.125,5,3,2,2,2,12,14.125,2,2,0,1.125,0,0,4,2,2,1,1,1,1,1,1,2,5.125,4,6,2,5,3,16,21.125,9,0,5,3,1,2,3,3,2,2,2,4,4,3,3,5,4,3,4
2,2,0,1,8,0,2,3,1,0,2,2,29,30,1,2,2,3,1,3,2,2,4,3,3,4,1,2,0,1.5,3,2,1,0,0,0,1,0,3,1,1,1,7.5,6,3,2,1,5,15,17.5,2,0,0,1.125,0,1,2,1,0,0,0,0,1,1,1,2,3.125,2,4,2,0,3,9,12.125,9,0,5,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2
5,2,1,1,15,0,3,2,0.25,0,0,2,25,0,-25,3,2,3,2,2,2,2,3,2,2,3,3,2,1,0.375,3,0,2,2,0,3,3,3,1,1,0,2,9.375,9,4,2,9,2,24,26.375,2,2,0,1.125,3,0,3,1,0,1,0,1,1,1,1,2,8.125,7,4,1,2,3,15,19.125,9,0,5,3,2,3,3,2,2,3,3,4,4,4,4,5,5,5,5
5,2,1,1,10,0,3,2,0.25,0,0,2,25,25,0,4,2,2,4,2,1,1,2,3,3,2,0,0,0,1.125,0,2,1,1,1,2,2,2,1,1,1,2,1.125,0,4,3,7,3,15,17.125,2,2,2,0.75,3,2,3,2,3,2,2,3,1,2,3,2,9.75,9,7,4,10,6,31,34.75,9,0,5,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,4
5,4,1,1,9,0,2,2,0.25,0,1,4,34,42,8,4,2,1,4,0,2,1,1,2,2,1,0,0,0,1.5,2,2,3,2,0,1,0,1,1,1,1,1,3.5,2,7,4,2,3,12,16.5,2,1,0,1.5,2,2,3,0,0,1,0,1,1,1,1,1,6.5,5,5,2,2,3,13,17.5,9,0,5,2,2,3,3,2,3,3,3,4,4,4,4,6,6,6,6
2,2,1,1,8,0,3,2,0.25,0,1,3,34,27,-7,0,2,4,4,4,1,1,1,2,2,3,1,0,0,1.125,0,1,2,0,2,1,1,2,2,1,1,3,2.125,1,3,1,6,4,15,18.125,2,1,1,0.75,1,1,3,1,1,1,1,1,3,1,1,2,5.75,5,5,2,4,5,18,21.75,9,0,5,2,3,3,1,3,2,2,2,3,1,2,2,2,2,2,2
2,2,1,1,9,0,3,2,0.25,1,1,3,0,25,25,2,2,1,1,1,2,2,4,5,5,4,1,1,0,1.5,0,0,2,0,1,1,0,0,1,0,0,2,3.5,2,2,0,2,1,7,10.5,0,0,0,1.125,0,2,3,0,1,1,1,1,1,1,2,2,0,0,5,2,4,4,0,0,9,0,5,3,3,2,1,3,3,3,1,4,4,4,4,5,5,5,5
2,4,1,3,7,0,3,2,1,0,1,2,36,28,-8,4,4,4,4,4,2,2,3,2,2,3,0,0,0,1.875,0,1,2,0,0,1,0,0,2,1,1,2,1.875,0,3,1,1,4,8,11.875,3,2,0,0.375,3,2,2,0,0,1,0,1,2,1,0,2,8.375,8,4,2,2,3,17,19.375,9,0,5,3,3,2,3,4,4,3,4,3,3,3,2,2,3,3,3
