first,totalHits,totalLow,totalHigh,totalUniqueHigh,totalNoteLength,relevancyRatio,uniqueRelevancyRatio,Step1Q1A,Step1Q1B,Step1Q1C,total,relSearch,relIndex,relNotes,relNotesIndex,pageComplexity,pageLength,pageSentiment
1,35,19,16,8,382,0.46,0.38,0,0,0,0,0.238095238,0.342857143,0.2,0.142857143,24.03428571,558.8,9.085714286
0,63,52,11,6,7292,0.17,0.15,1,1,0,2,0.076923077,0.095238095,1,0.130434783,35.6,219.8412698,13.95238095
1,101,91,10,9,1335,0.1,0.14,3,0,0,3,0.092307692,0.069306931,0.5,0.176470588,39.5690099,390.7029703,14.05940594
0,146,113,33,8,0,0.23,0.14,0,0,0,0,0.087719298,0.198630137,0,0,39.23041096,407.9452055,15.11643836
1,76,65,11,9,850,0.14,0.16,1,1,0,2,0.105263158,0.105263158,0.333333333,0.222222222,36.66407895,448,14.59210526
0,189,146,43,8,0,0.23,0.13,1,0,0,1,0.081967213,0.206349206,0,0,41.72968254,402.3439153,14.58201058
1,45,35,10,8,202,0.22,0.24,3,2,0,5,0.151515152,0.133333333,0,0,31.85555556,468.2,13.48888889
0,162,128,34,8,6,0.21,0.15,2,2,0,4,0.092592593,0.153374233,0,0,43.85895062,552.7160494,13.70987654
1,51,40,11,9,828,0.22,0.25,1,2,0,3,0.166666667,0.137254902,0.166666667,0.111111111,35.67627451,1138.156863,13.98039216
0,54,42,12,7,0,0.22,0.21,2,0,0,2,0.121212121,0.148148148,0,0,27.91796296,342.537037,13.87037037
1,93,80,13,5,1123,0.14,0.11,3,2,1,6,0.106382979,0.139784946,0.4,0.285714286,43.98032258,961.9139785,12.87096774
0,117,97,20,8,737,0.17,0.12,2,2,0,4,0.072463768,0.145299145,0.2,0.333333333,38.25102564,353.8803419,13.41880342
1,69,56,13,9,1475,0.19,0.2,0,0,0,0,0.136363636,0.144927536,0.666666667,0.266666667,35.68362319,490.7246377,12.31884058
0,136,121,15,8,2651,0.11,0.11,2,2,2,6,0.070422535,0.088235294,0.4,0.068965517,39.59176471,473.1911765,13.875
1,338,271,67,9,3073,0.2,0.13,0,0,0,0,0.084507042,0.165680473,0.5,0.130434783,39.95789941,678.3195266,13.5443787
0,140,120,20,6,0,0.14,0.12,2,1,0,3,0.057692308,0.085714286,0,0,37.07764286,335.7785714,11.64285714
1,91,80,11,9,2065,0.12,0.16,1,0,0,1,0.107142857,0.087912088,0.666666667,0.2,37.97307692,633.7362637,13.7032967
0,102,91,11,8,1888,0.11,0.12,2,1,1,4,0.074626866,0.078431373,0.2,0.04,37.335,386.0196078,13.75490196
1,38,31,7,7,510,0.18,0.19,1,1,0,2,0.111111111,0.105263158,0.25,0.125,31.65447368,750.8157895,12.02631579
0,69,56,13,8,964,0.19,0.16,0,0,0,0,0.098039216,0.144927536,0.4,0.153846154,37.14884058,479.8405797,11.84057971
1,41,33,8,7,3281,0.2,0.26,0,0,0,0,0.148148148,0.12195122,0.75,0.214285714,39.97658537,405.1463415,11.97560976
0,95,80,15,7,99,0.16,0.12,3,2,0,5,0.084745763,0.126315789,0,0,40.80778947,410.8105263,14.05263158
1,13,11,2,1,136,0.15,0.14,0,0,0,0,0.142857143,0.153846154,0,0,47.03846154,590.1538462,16.38461538
0,28,21,7,4,0,0.25,0.25,3,0,0,3,0.1875,0.214285714,0,0,37.00035714,734.1071429,18
1,46,29,17,7,0,0.37,0.28,0,0,0,0,0.2,0.282608696,0,0,37.30652174,893.6304348,11.95652174
0,63,55,8,6,0,0.13,0.13,0,0,0,0,0.065217391,0.079365079,0,0,41.32015873,518.3809524,11.25396825
1,67,45,22,9,0,0.33,0.29,2,1,0,3,0.193548387,0.294117647,0,0,40.36134328,952.4776119,12.74626866
0,60,49,11,6,0,0.18,0.15,0,0,0,0,0.075,0.133333333,0,0,35.12616667,457.5166667,11.36666667
1,171,129,42,9,3481,0.25,0.16,1,1,0,2,0.109090909,0.169590643,0.833333333,0.108695652,34.37274854,440.3918129,12.70175439
