totalHits,totalLow,totalHigh,totalUniqueHigh,totalNoteLength,relevancyRatio,uniqueRelevancyRatio,total,relSearch,relIndex,relNotes,relNotesIndex,pageComplexity,pageLength,pageSentiment
63.00,52.00,11.00,6.00,7292.00,0.17,0.15,2.00,0.08,0.10,1.00,0.13,35.60,219.84,13.95
146.00,113.00,33.00,8.00,0.00,0.23,0.14,0.00,0.09,0.20,0.00,0.00,39.23,407.95,15.12
189.00,146.00,43.00,8.00,0.00,0.23,0.13,1.00,0.08,0.21,0.00,0.00,41.73,402.34,14.58
162.00,128.00,34.00,8.00,6.00,0.21,0.15,4.00,0.09,0.15,0.00,0.00,43.86,552.72,13.71
54.00,42.00,12.00,7.00,0.00,0.22,0.21,2.00,0.12,0.15,0.00,0.00,27.92,342.54,13.87
117.00,97.00,20.00,8.00,737.00,0.17,0.12,4.00,0.07,0.15,0.20,0.33,38.25,353.88,13.42
136.00,121.00,15.00,8.00,2651.00,0.11,0.11,6.00,0.07,0.09,0.40,0.07,39.59,473.19,13.88
140.00,120.00,20.00,6.00,0.00,0.14,0.12,3.00,0.06,0.09,0.00,0.00,37.08,335.78,11.64
102.00,91.00,11.00,8.00,1888.00,0.11,0.12,4.00,0.07,0.08,0.20,0.04,37.34,386.02,13.75
69.00,56.00,13.00,8.00,964.00,0.19,0.16,0.00,0.10,0.14,0.40,0.15,37.15,479.84,11.84
95.00,80.00,15.00,7.00,99.00,0.16,0.12,5.00,0.08,0.13,0.00,0.00,40.81,410.81,14.05
28.00,21.00,7.00,4.00,0.00,0.25,0.25,3.00,0.19,0.21,0.00,0.00,37.00,734.11,18.00
63.00,55.00,8.00,6.00,0.00,0.13,0.13,0.00,0.07,0.08,0.00,0.00,41.32,518.38,11.25
60.00,49.00,11.00,6.00,0.00,0.18,0.15,0.00,0.08,0.13,0.00,0.00,35.13,457.52,11.37
115.00,79.00,36.00,8.00,0.00,0.31,0.22,1.00,0.14,0.26,0.00,0.00,41.58,1070.19,13.33
166.00,139.00,27.00,8.00,0.00,0.16,0.11,1.00,0.07,0.14,0.00,0.00,37.99,335.75,13.06
120.00,98.00,22.00,8.00,0.00,0.18,0.12,9.00,0.08,0.15,0.00,0.00,38.81,349.88,13.16
80.00,53.00,27.00,6.00,1562.00,0.34,0.16,3.00,0.13,0.29,0.80,0.31,36.98,139.34,14.74
49.00,31.00,18.00,7.00,4016.00,0.37,0.27,5.00,0.19,0.29,0.60,0.27,30.16,180.55,15.37
133.00,109.00,24.00,6.00,868.00,0.18,0.11,5.00,0.05,0.14,0.33,0.10,39.87,566.65,12.20
208.00,174.00,34.00,8.00,1248.00,0.16,0.13,3.00,0.08,0.13,0.60,0.17,39.46,563.58,12.80
50.00,42.00,8.00,8.00,2287.00,0.16,0.16,0.00,0.10,0.13,0.80,0.18,33.64,642.94,11.64
136.00,117.00,19.00,8.00,0.00,0.14,0.13,7.00,0.08,0.09,0.00,0.00,37.72,515.67,12.62
41.00,29.00,12.00,7.00,0.00,0.29,0.27,4.00,0.15,0.17,0.00,0.00,44.95,150.95,16.61
125.00,104.00,21.00,8.00,0.00,0.17,0.13,4.00,0.08,0.12,0.00,0.00,40.15,508.70,13.55
14.00,4.00,10.00,3.00,0.00,0.71,0.43,0.00,0.29,0.64,0.00,0.00,36.80,101.64,16.07
93.00,83.00,10.00,6.00,651.00,0.11,0.10,1.00,0.05,0.08,1.00,0.16,39.65,428.83,13.58
71.00,62.00,9.00,6.00,743.00,0.13,0.11,4.00,0.07,0.10,0.25,0.06,39.89,399.11,14.31
23.00,15.00,8.00,4.00,54.00,0.35,0.29,0.00,0.29,0.35,0.00,0.00,37.27,636.09,13.26
112.00,96.00,16.00,6.00,2175.00,0.14,0.12,0.00,0.06,0.11,1.00,0.14,41.13,378.78,11.32
186.00,166.00,20.00,8.00,0.00,0.11,0.11,5.00,0.07,0.07,0.00,0.00,39.87,567.63,12.76
55.00,46.00,9.00,7.00,3946.00,0.16,0.15,0.00,0.11,0.14,0.80,0.15,33.50,600.84,12.05
214.00,175.00,39.00,8.00,8049.00,0.18,0.13,5.00,0.08,0.15,0.60,0.10,37.98,555.49,12.28
18.00,16.00,2.00,2.00,0.00,0.11,0.15,5.00,0.08,0.06,0.00,0.00,35.00,147.17,8.78
58.00,50.00,8.00,8.00,319.00,0.14,0.14,3.00,0.09,0.09,0.00,0.00,38.82,582.03,12.84
148.00,127.00,21.00,7.00,0.00,0.14,0.13,3.00,0.09,0.11,0.00,0.00,36.10,587.97,13.11
113.00,97.00,16.00,8.00,341.00,0.14,0.13,3.00,0.08,0.07,0.20,0.13,42.00,495.95,12.42
47.00,36.00,11.00,5.00,431.00,0.23,0.14,0.00,0.11,0.21,0.00,0.00,43.19,784.53,13.47
113.00,103.00,10.00,8.00,0.00,0.09,0.13,3.00,0.08,0.06,0.00,0.00,41.32,363.12,14.19
50.00,33.00,17.00,7.00,0.00,0.34,0.21,5.00,0.12,0.26,0.00,0.00,37.50,624.70,12.62
50.00,41.00,9.00,6.00,45.00,0.18,0.14,3.00,0.10,0.14,0.25,1.00,39.12,583.06,12.36
110.00,92.00,18.00,4.00,0.00,0.16,0.10,1.00,0.10,0.16,0.00,0.00,42.49,1123.50,12.50
62.00,52.00,10.00,2.00,2962.00,0.16,0.10,3.00,0.10,0.17,0.00,0.00,42.20,346.48,15.00
57.00,44.00,13.00,8.00,0.00,0.23,0.20,1.00,0.12,0.16,0.00,0.00,38.63,674.19,11.14
44.00,35.00,9.00,5.00,1850.00,0.20,0.14,2.00,0.14,0.20,1.00,0.19,40.55,602.73,12.43
107.00,88.00,19.00,8.00,7728.00,0.18,0.13,4.00,0.08,0.13,1.00,0.13,39.26,386.66,13.11
115.00,91.00,24.00,6.00,0.00,0.21,0.11,3.00,0.07,0.18,0.00,0.00,35.39,305.52,13.39
36.00,27.00,9.00,5.00,0.00,0.25,0.23,0.00,0.09,0.11,0.00,0.00,18.01,209.28,12.50
57.00,48.00,9.00,6.00,0.00,0.16,0.18,0.00,0.09,0.09,0.00,0.00,38.66,887.53,11.42
43.00,33.00,10.00,4.00,0.00,0.23,0.29,4.00,0.21,0.19,0.00,0.00,43.58,101.77,13.05
34.00,21.00,13.00,4.00,0.00,0.38,0.20,0.00,0.20,0.38,0.00,0.00,43.48,624.12,18.18
137.00,113.00,24.00,8.00,1232.00,0.18,0.15,7.00,0.10,0.12,0.20,0.08,38.63,616.13,12.22
133.00,100.00,33.00,6.00,3068.00,0.25,0.15,6.00,0.08,0.16,0.33,0.06,43.65,1171.01,13.28
74.00,63.00,11.00,7.00,0.00,0.15,0.11,2.00,0.08,0.12,0.00,0.00,39.52,469.61,13.65
52.00,43.00,9.00,8.00,0.00,0.17,0.17,4.00,0.11,0.12,0.00,0.00,31.66,532.56,12.13
91.00,62.00,29.00,7.00,0.00,0.32,0.22,2.00,0.13,0.19,0.00,0.00,30.55,773.80,9.88
249.00,213.00,36.00,8.00,746.00,0.14,0.11,3.00,0.07,0.11,0.00,0.00,37.48,330.77,12.24
39.00,31.00,8.00,5.00,0.00,0.21,0.14,3.00,0.14,0.21,0.00,0.00,38.81,597.64,13.38
106.00,87.00,19.00,8.00,0.00,0.18,0.13,2.00,0.08,0.14,0.00,0.00,38.80,391.90,13.10
102.00,88.00,14.00,6.00,0.00,0.14,0.15,2.00,0.08,0.06,0.00,0.00,32.44,742.87,12.19
89.00,74.00,15.00,7.00,6938.00,0.17,0.12,2.00,0.07,0.11,0.75,0.25,42.06,376.11,13.03
22.00,17.00,5.00,5.00,0.00,0.23,0.29,1.00,0.12,0.09,0.00,0.00,24.60,293.45,10.59
72.00,56.00,16.00,6.00,0.00,0.22,0.17,0.00,0.09,0.15,0.00,0.00,30.64,1245.78,10.60
73.00,62.00,11.00,8.00,2405.00,0.15,0.16,4.00,0.10,0.12,0.40,0.11,38.61,428.23,13.14
66.00,50.00,16.00,6.00,683.00,0.24,0.21,0.00,0.11,0.14,0.00,0.00,32.08,1517.45,12.76
44.00,39.00,5.00,5.00,1785.00,0.11,0.16,7.00,0.09,0.07,1.00,0.19,41.04,244.73,11.89
50.00,40.00,10.00,7.00,3227.00,0.20,0.18,1.00,0.10,0.12,0.25,0.06,35.18,541.88,12.24
60.00,50.00,10.00,7.00,114.00,0.17,0.16,4.00,0.11,0.13,0.00,0.00,31.16,859.63,11.75
81.00,60.00,21.00,8.00,1023.00,0.26,0.17,2.00,0.11,0.20,0.40,0.29,33.84,426.47,13.56
37.00,29.00,8.00,5.00,101.00,0.22,0.20,0.00,0.16,0.19,0.00,0.00,40.36,1111.38,12.95
45.00,34.00,11.00,5.00,0.00,0.24,0.17,4.00,99.00,99.00,99.00,99.00,40.46,822.78,12.78
47.00,34.00,13.00,8.00,989.00,0.28,0.21,4.00,0.13,0.21,0.80,0.25,37.07,562.49,12.23
133.00,113.00,20.00,8.00,6997.00,0.15,0.11,3.00,0.07,0.11,0.80,0.08,37.53,372.52,11.99
81.00,70.00,11.00,8.00,3384.00,0.14,0.13,9.00,0.08,0.10,0.40,0.07,39.59,465.11,13.41
78.00,62.00,16.00,8.00,6070.00,0.21,0.16,0.00,0.10,0.12,0.40,0.18,38.26,371.64,14.60
109.00,88.00,21.00,8.00,1350.00,0.19,0.15,1.00,0.09,0.14,0.00,0.00,43.29,669.47,11.07
