student,assignment,first,totalHits,totalLow,totalHigh,totalUniqueLow,totalUniqueHigh,totalNoteLength,relevancyRatio,uniqueRelevancyRatio,Step1Q1A,Step1Q1B,Step1Q1C,TotalScore,relSearch,relIndex,relNotes,relNotesIndex,pageComplexity,pageLength,pageSentiment,totalTime,totalSessions,timePerSession,Step1QTotal,ScoreClass
3439,596,1,35,19,16,13,8,382,0.46,0.38,0,0,0,12.25,0.238095238,0.342857143,0.2,0.142857143,24.03428571,558.8,9.085714286,165,2,83,0,LOW
3439,611,0,63,52,11,33,6,7292,0.17,0.15,1,1,0,29.375,0.076923077,0.095238095,1,0.130434783,35.6,219.8412698,13.95238095,155,5,31,2,LOW
3486,580,1,101,91,10,56,9,1335,0.1,0.14,3,0,0,23.125,0.092307692,0.069306931,0.5,0.176470588,39.5690099,390.7029703,14.05940594,258,5,52,3,MEDIUM
3486,582,0,146,113,33,49,8,0,0.23,0.14,0,0,0,#NULL!,0.087719298,0.198630137,0,0,39.23041096,407.9452055,15.11643836,460.5,13,35,0,LOW
3802,580,1,76,65,11,48,9,850,0.14,0.16,1,1,0,25.75,0.105263158,0.105263158,0.333333333,0.222222222,36.66407895,448,14.59210526,85,1,85,2,LOW
3802,582,0,189,146,43,53,8,0,0.23,0.13,1,0,0,17.75,0.081967213,0.206349206,0,0,41.72968254,402.3439153,14.58201058,365.5,9,41,1,LOW
3803,580,1,45,35,10,25,8,202,0.22,0.24,3,2,0,14.125,0.151515152,0.133333333,0,0,31.85555556,468.2,13.48888889,37.5,1,38,5,MEDIUM
3803,582,0,162,128,34,46,8,6,0.21,0.15,2,2,0,21.125,0.092592593,0.153374233,0,0,43.85895062,552.7160494,13.70987654,359.5,10,36,4,MEDIUM
3805,592,1,51,40,11,27,9,828,0.22,0.25,1,2,0,17.5,0.166666667,0.137254902,0.166666667,0.111111111,35.67627451,1138.156863,13.98039216,64.5,2,32,3,MEDIUM
3805,612,0,54,42,12,26,7,0,0.22,0.21,2,0,0,12.125,0.121212121,0.148148148,0,0,27.91796296,342.537037,13.87037037,134,3,45,2,LOW
3806,580,1,93,80,13,42,5,1123,0.14,0.11,3,2,1,26.375,0.106382979,0.139784946,0.4,0.285714286,43.98032258,961.9139785,12.87096774,118.5,3,40,6,HIGH
3806,582,0,117,97,20,61,8,737,0.17,0.12,2,2,0,19.125,0.072463768,0.145299145,0.2,0.333333333,38.25102564,353.8803419,13.41880342,314.5,6,52,4,MEDIUM
3809,580,1,69,56,13,35,9,1475,0.19,0.2,0,0,0,17.125,0.136363636,0.144927536,0.666666667,0.266666667,35.68362319,490.7246377,12.31884058,425,3,142,0,LOW
3809,582,0,136,121,15,63,8,2651,0.11,0.11,2,2,2,34.75,0.070422535,0.088235294,0.4,0.068965517,39.59176471,473.1911765,13.875,445,11,40,6,HIGH
3810,580,1,338,271,67,62,9,3073,0.2,0.13,0,0,0,16.5,0.084507042,0.165680473,0.5,0.130434783,39.95789941,678.3195266,13.5443787,679,16,42,0,LOW
3810,582,0,140,120,20,46,6,0,0.14,0.12,2,1,0,17.5,0.057692308,0.085714286,0,0,37.07764286,335.7785714,11.64285714,888.5,12,74,3,MEDIUM
3812,592,1,91,80,11,47,9,2065,0.12,0.16,1,0,0,18.125,0.107142857,0.087912088,0.666666667,0.2,37.97307692,633.7362637,13.7032967,89.5,2,45,1,LOW
3812,612,0,102,91,11,59,8,1888,0.11,0.12,2,1,1,21.75,0.074626866,0.078431373,0.2,0.04,37.335,386.0196078,13.75490196,248,7,35,4,MEDIUM
3813,592,1,38,31,7,29,7,510,0.18,0.19,1,1,0,10.5,0.111111111,0.105263158,0.25,0.125,31.65447368,750.8157895,12.02631579,31.5,1,32,2,LOW
3813,612,0,69,56,13,43,8,964,0.19,0.16,0,0,0,#NULL!,0.098039216,0.144927536,0.4,0.153846154,37.14884058,479.8405797,11.84057971,145,4,36,0,LOW
3814,592,1,41,33,8,20,7,3281,0.2,0.26,0,0,0,11.875,0.148148148,0.12195122,0.75,0.214285714,39.97658537,405.1463415,11.97560976,73.5,2,37,0,LOW
3814,612,0,95,80,15,52,7,99,0.16,0.12,3,2,0,19.375,0.084745763,0.126315789,0,0,40.80778947,410.8105263,14.05263158,173,3,58,5,MEDIUM
3818,592,1,13,11,2,6,1,136,0.15,0.14,0,0,0,9.75,0.142857143,0.153846154,0,0,47.03846154,590.1538462,16.38461538,28,2,14,0,LOW
3818,612,0,28,21,7,12,4,0,0.25,0.25,3,0,0,17.375,0.1875,0.214285714,0,0,37.00035714,734.1071429,18,162.5,3,54,3,MEDIUM
3819,592,1,46,29,17,18,7,0,0.37,0.28,0,0,0,18.5,0.2,0.282608696,0,0,37.30652174,893.6304348,11.95652174,64.5,1,65,0,LOW
3819,612,0,63,55,8,40,6,0,0.13,0.13,0,0,0,#NULL!,0.065217391,0.079365079,0,0,41.32015873,518.3809524,11.25396825,168,3,56,0,LOW
3820,592,1,67,45,22,22,9,0,0.33,0.29,2,1,0,12.125,0.193548387,0.294117647,0,0,40.36134328,952.4776119,12.74626866,141.5,5,28,3,MEDIUM
3820,612,0,60,49,11,34,6,0,0.18,0.15,0,0,0,#NULL!,0.075,0.133333333,0,0,35.12616667,457.5166667,11.36666667,230.5,2,115,0,LOW
3821,580,1,171,129,42,46,9,3481,0.25,0.16,1,1,0,20.125,0.109090909,0.169590643,0.833333333,0.108695652,34.37274854,440.3918129,12.70175439,231,8,29,2,LOW
3821,582,0,115,79,36,29,8,0,0.31,0.22,1,0,0,18.75,0.135135135,0.260869565,0,0,41.57956522,1070.191304,13.33043478,522,17,31,1,LOW
3823,580,1,113,94,19,37,9,3243,0.17,0.2,1,1,0,23.125,0.130434783,0.14159292,0.333333333,0.222222222,40.09150442,677.7433628,13.15044248,214,8,27,2,LOW
3823,582,0,166,139,27,64,8,0,0.16,0.11,1,0,0,24.125,0.069444444,0.137724551,0,0,37.98536145,335.746988,13.06024096,448,9,50,1,LOW
3827,594,1,98,81,17,50,9,0,0.17,0.15,0,0,0,16.25,0.101694915,0.102040816,0,0,38.0527551,473.5,12.98979592,105,2,53,0,LOW
3827,606,0,120,98,22,57,8,0,0.18,0.12,3,3,3,25.125,0.076923077,0.15,0,0,38.81141667,349.8833333,13.15833333,272,5,54,9,HIGH
3828,594,1,39,35,4,20,4,1708,0.1,0.17,0,0,0,0,0.125,0.076923077,0.333333333,0.111111111,37.47717949,942.2051282,15.64102564,111.5,2,56,0,LOW
3828,606,0,80,53,27,32,6,1562,0.34,0.16,1,2,0,14.5,0.131578947,0.2875,0.8,0.307692308,36.975,139.3375,14.7375,279,4,70,3,MEDIUM
3829,594,1,63,51,12,25,5,4832,0.19,0.17,2,3,2,25.5,0.066666667,0.047619048,0.5,0.083333333,26.15873016,224.2698413,10.85714286,98.5,2,49,7,HIGH
3829,606,0,49,31,18,19,7,4016,0.37,0.27,3,2,0,22.5,0.192307692,0.285714286,0.6,0.272727273,30.16326531,180.5510204,15.36734694,166.5,3,56,5,MEDIUM
3830,594,1,170,154,16,61,8,0,0.09,0.12,3,2,1,24.125,0.072463768,0.058823529,0,0,35.25770588,520.9294118,13.33529412,132,2,66,6,HIGH
3830,606,0,133,109,24,51,6,868,0.18,0.11,3,2,0,22.5,0.052631579,0.135338346,0.333333333,0.1,39.87150376,566.6466165,12.20300752,245.5,3,82,5,MEDIUM
3835,594,1,163,132,31,42,9,0,0.19,0.18,2,2,0,21.375,0.117647059,0.171779141,0,0,37.28760736,1283.93865,13.34355828,181.5,6,30,4,MEDIUM
3835,606,0,208,174,34,54,8,1248,0.16,0.13,1,2,0,16.75,0.080645161,0.125,0.6,0.166666667,39.46288462,563.5817308,12.80288462,393,6,66,3,MEDIUM
3837,595,1,71,57,14,45,8,960,0.2,0.15,0,0,0,8.75,0.094339623,0.14084507,0.8,0.222222222,34.4615493,512.1690141,12.8028169,65.5,2,33,0,LOW
3837,610,0,50,42,8,42,8,2287,0.16,0.16,0,0,0,#NULL!,0.1,0.129032258,0.8,0.181818182,33.6414,642.94,11.64,100,2,50,0,LOW
3838,580,1,230,191,39,53,9,5459,0.17,0.15,3,3,1,41.125,0.096774194,0.12173913,0.166666667,0.033333333,38.43608696,748.5043478,11.09565217,379,9,42,7,HIGH
3838,582,0,136,117,19,53,8,0,0.14,0.13,3,3,1,26.375,0.081967213,0.088235294,0,0,37.72382353,515.6691176,12.61764706,500,9,56,7,HIGH
3839,592,1,20,17,3,14,3,0,0.15,0.18,1,1,0,9.125,0.176470588,0.15,0,0,42.38,251.55,16.15,40.5,1,41,2,LOW
3839,612,0,41,29,12,19,7,0,0.29,0.27,2,2,0,22.875,0.153846154,0.170731707,0,0,44.94634146,150.9512195,16.6097561,108,2,54,4,MEDIUM
3840,595,1,92,80,12,42,8,0,0.13,0.16,1,0,0,18.75,0.1,0.076086957,0,0,37.96815217,457.25,13.41304348,136.5,4,34,1,LOW
3840,610,0,125,104,21,55,8,0,0.17,0.13,1,3,0,22.125,0.079365079,0.12,0,0,40.14912,508.696,13.552,289,2,145,4,MEDIUM
3841,580,1,245,201,44,51,9,12330,0.18,0.15,1,1,0,15.75,0.1,0.134693878,0.833333333,0.11627907,39.95595918,459.2653061,12.68979592,476,13,37,2,LOW
3841,582,0,14,4,10,4,3,0,0.71,0.43,0,0,0,#NULL!,0.285714286,0.642857143,0,0,36.8,101.6428571,16.07142857,495,2,248,0,LOW
3843,595,1,45,30,15,21,8,23,0.33,0.28,1,1,0,9.375,0.172413793,0.266666667,0,0,41.24155556,549.5111111,13.17777778,51,3,17,2,LOW
3843,610,0,93,83,10,56,6,651,0.11,0.1,1,0,0,12,0.048387097,0.075268817,1,0.157894737,39.64913978,428.827957,13.58064516,146.5,4,37,1,LOW
3847,586,1,150,123,27,61,9,0,0.18,0.13,1,1,0,19.5,0.085714286,0.119205298,0,0,38.06693333,583.26,12.92,144.5,1,145,2,LOW
3847,609,0,71,62,9,49,6,743,0.13,0.11,3,1,0,21,0.072727,0.098591549,0.25,0.055555556,39.88690141,399.1126761,14.30985915,222.5,3,74,4,MEDIUM
3848,610,0,23,15,8,10,4,54,0.35,0.29,0,0,0,#NULL!,0.285714286,0.347826087,0,0,37.27391304,636.0869565,13.26086957,164.5,1,165,0,LOW
3849,595,1,115,96,19,47,9,4190,0.17,0.16,0,0,0,17.5,0.107142857,0.104347826,0.5,0.103448276,38.91713043,580.5565217,13.15652174,221,3,74,0,LOW
3849,610,0,112,96,16,43,6,2175,0.14,0.12,0,0,0,#NULL!,0.06122449,0.107142857,1,0.136363636,41.12535714,378.7767857,11.32142857,386.5,10,39,0,LOW
3850,580,1,109,92,17,36,8,0,0.16,0.18,3,2,0,22.125,0.113636364,0.100917431,0,0,31.48330275,560.8807339,12.79816514,92,1,92,5,MEDIUM
3850,582,0,186,166,20,64,8,0,0.11,0.11,3,2,0,15.125,0.069444444,0.069892473,0,0,39.86978495,567.6344086,12.76344086,369,11,34,5,MEDIUM
3851,595,1,42,32,10,26,8,759,0.24,0.24,1,0,0,16.5,0.147058824,0.166666667,0.4,0.222222222,33.56595238,645.3571429,11.45238095,70,4,18,1,LOW
3851,610,0,55,46,9,39,7,3946,0.16,0.15,0,0,0,#NULL!,0.106382979,0.137931034,0.8,0.148148148,33.50127273,600.8363636,12.05454545,235.5,5,47,0,LOW
3855,580,1,39,27,12,21,9,0,0.31,0.3,0,0,0,18.125,0.2,0.230769231,0,0,32.44282051,693,11.51282051,52,1,52,0,LOW
3855,582,0,214,175,39,55,8,8049,0.18,0.13,3,2,0,26,0.079365079,0.14953271,0.6,0.103448276,37.97920561,555.4906542,12.28037383,382.5,14,27,5,MEDIUM
3857,580,1,220,178,42,53,9,10236,0.19,0.15,3,0,0,22,0.096774194,0.145374449,0.5,0.107142857,37.80795455,825.3181818,13.73181818,391,13,30,3,LOW
3857,582,0,18,16,2,11,2,0,0.11,0.15,3,2,0,26.375,0.076923077,0.055555556,0,0,35,147.1666667,8.777777778,416,4,104,5,MEDIUM
3858,610,0,58,50,8,50,8,319,0.14,0.14,2,1,0,24.375,0.086206897,0.092592593,0,0,38.82017241,582.0344828,12.84482759,119.5,2,60,3,MEDIUM
3859,596,1,74,51,23,23,7,621,0.31,0.23,0,0,0,10.125,0.2,0.293333333,0,0,43.85094595,698.6486486,14.43243243,108,4,27,0,LOW
3859,611,0,148,127,21,48,7,0,0.14,0.13,3,0,0,20.5,0.090909091,0.108108108,0,0,36.09554054,587.9662162,13.10810811,244.5,2,122,3,MEDIUM
3861,596,1,113,90,23,41,8,0,0.2,0.16,0,0,0,20.875,0.102040816,0.150442478,0,0,32.32778761,596.8584071,11.47787611,158.5,3,53,0,LOW
3861,611,0,113,97,16,54,8,341,0.14,0.13,3,0,0,32.5,0.080645161,0.07079646,0.2,0.125,42.00238938,495.9469027,12.42477876,343.5,7,49,3,MEDIUM
3862,596,1,109,94,15,59,9,964,0.14,0.13,1,0,0,15.625,0.088235294,0.110091743,0.166666667,0.066666667,40.34651376,377.9449541,13.69724771,113,3,38,1,LOW
3862,611,0,47,36,11,30,5,431,0.23,0.14,0,0,0,#NULL!,0.114285714,0.212765957,0,0,43.19021277,784.5319149,13.46808511,205,3,68,0,LOW
3863,596,1,142,121,21,56,9,8160,0.15,0.14,3,3,1,31.375,0.092307692,0.105633803,0.833333333,0.098039216,38.53605634,790.3028169,12.85915493,405,5,81,7,HIGH
3863,611,0,113,103,10,56,8,0,0.09,0.13,2,1,0,19.75,0.078125,0.061946903,0,0,41.31566372,363.1150442,14.19469027,425,3,142,3,MEDIUM
3864,596,1,76,60,16,42,8,0,0.21,0.16,2,0,0,10.5,0.1,0.171052632,0,0,38.23776316,462.9342105,12.17105263,197.5,4,49,2,LOW
3864,611,0,50,33,17,27,7,0,0.34,0.21,3,2,0,29.375,0.117647059,0.26,0,0,37.5014,624.7,12.62,187.5,3,63,5,MEDIUM
3866,596,1,60,50,10,33,8,3420,0.17,0.2,1,0,0,13.125,0.12195122,0.083333333,0.6,0.130434783,34.39616667,549.0666667,11.53333333,122,4,31,1,LOW
3866,611,0,50,41,9,36,6,45,0.18,0.14,2,1,0,16.125,0.095238095,0.14,0.25,1,39.1174,583.06,12.36,213,2,107,3,MEDIUM
3867,580,1,139,115,24,48,9,0,0.17,0.16,1,0,0,17.875,0.105263158,0.151079137,0,0,38.25021583,554.1151079,13.38848921,379.5,4,95,1,LOW
3867,582,0,110,92,18,36,4,0,0.16,0.1,1,0,0,20.125,0.1,0.163636364,0,0,42.49472727,1123.5,12.5,393.5,13,30,1,LOW
3870,596,1,274,233,41,59,9,3799,0.15,0.13,2,0,0,25.75,0.088235294,0.116788321,0.833333333,0.227272727,38.30357664,502.0145985,13.80291971,434.5,9,48,2,LOW
3870,611,0,62,52,10,19,2,2962,0.16,0.1,1,1,1,22.75,0.095238095,0.174603175,0,0,42.20322581,346.483871,15,495.5,8,62,3,MEDIUM
3871,596,1,44,36,8,27,8,0,0.18,0.23,0,0,0,4.875,0.142857143,0.113636364,0,0,35.41295455,663.6136364,12.97727273,73,1,73,0,LOW
3871,611,0,57,44,13,33,8,0,0.23,0.2,1,0,0,20.125,0.12195122,0.157894737,0,0,38.62701754,674.1929825,11.14035088,138.5,2,69,1,LOW
3873,596,1,7,6,1,5,1,0,0.14,0.17,0,0,0,9.75,0.166666667,0.142857143,0,0,37.78142857,929.1428571,13.57142857,12,1,12,0,LOW
3873,611,0,44,35,9,31,5,1850,0.2,0.14,1,1,0,15.75,0.138888889,0.204545455,1,0.185185185,40.55386364,602.7272727,12.43181818,83,3,28,2,LOW
3875,596,1,132,110,22,53,9,5610,0.17,0.15,0,0,0,19.875,0.096774194,0.136363636,0.833333333,0.147058824,40.59143939,466.4393939,13.52272727,170,2,85,0,LOW
3875,611,0,107,88,19,56,8,7728,0.18,0.13,1,2,1,26.125,0.078125,0.130841121,1,0.131578947,39.26327103,386.6635514,13.11214953,313,3,104,4,MEDIUM
3876,596,1,187,156,31,58,9,0,0.17,0.13,3,2,1,40.125,0.089552239,0.14973262,0,0,36.63855615,540.0588235,12.72192513,243,5,49,6,HIGH
3876,611,0,115,91,24,51,6,0,0.21,0.11,1,2,0,27.375,0.070175439,0.182608696,0,0,35.39478261,305.5217391,13.39130435,413.5,3,138,3,MEDIUM
