thirdHits,firstHits,thirdUnique,firstUnique,thirdTime,firstTime,thirdSession,firstSession
63,35,39,21,155,165,5,2
146,101,57,65,460.5,258,13,5
189,76,61,57,365.5,85,9,1
162,45,54,33,359.5,37.5,10,1
54,51,33,36,134,64.5,3,2
117,93,69,47,314.5,118.5,6,3
136,69,71,44,445,425,11,3
140,338,52,71,888.5,679,12,16
102,91,67,56,248,89.5,7,2
69,38,51,36,145,31.5,4,1
95,41,59,27,173,73.5,3,2
28,13,16,7,162.5,28,3,2
63,46,46,25,168,64.5,3,1
60,67,40,31,230.5,141.5,2,5
115,171,37,55,522,231,17,8
166,113,72,46,448,214,9,8
120,98,65,59,272,105,5,2
80,39,38,24,279,111.5,4,2
49,63,26,30,166.5,98.5,3,2
133,170,57,69,245.5,132,3,2
208,163,62,51,393,181.5,6,6
50,71,50,53,100,65.5,2,2
136,230,61,62,500,379,9,9
41,20,26,17,108,40.5,2,1
125,92,63,50,289,136.5,2,4
14,245,7,60,495,476,2,13
93,45,62,29,146.5,51,4,3
71,150,55,70,222.5,144.5,3,1
23,115,14,56,164.5,221,1,3
112,109,49,44,386.5,92,10,1
186,42,72,34,369,70,11,4
55,39,46,30,235.5,52,5,1
214,220,63,62,382.5,391,14,13
18,74,13,30,416,108,4,4
58,113,58,49,119.5,158.5,2,3
148,109,55,68,244.5,113,2,3
113,142,62,65,343.5,405,7,5
47,76,35,50,205,197.5,3,4
113,60,64,41,425,122,3,4
50,139,34,57,187.5,379.5,3,4
50,274,42,68,213,434.5,2,9
110,44,40,35,393.5,73,13,1
62,7,21,6,495.5,12,8,1
57,132,41,62,138.5,170,2,2
44,187,36,67,83,243,3,5
107,12,64,9,313,23.5,3,2
115,112,57,53,413.5,123.5,3,3
36,77,22,39,72.5,150,3,2
57,44,34,35,223,77,2,3
43,101,14,49,299,79,5,1
34,21,20,18,151,29.5,5,1
137,76,52,47,266.5,91.5,6,2
133,34,40,25,325.5,85.5,12,3
74,10,61,8,178,17.5,3,2
52,183,46,71,164.5,492,3,4
91,47,32,30,199.5,86,8,3
249,220,72,72,638.5,244,11,5
39,177,35,70,140,152,4,3
106,56,62,37,327,97.5,2,4
102,20,39,14,371.5,45,9,3
89,79,58,38,238,86,5,3
22,71,17,38,104,106,4,2
72,215,35,71,193,227,4,4
73,52,50,32,258.5,227,7,3
66,73,28,51,372,121,6,3
44,50,32,39,209,58.5,4,1
50,35,39,23,217,52,2,1
60,66,44,49,120,136.5,2,3
81,78,47,37,157,161,4,5
37,38,25,32,201,29.5,2,1
45,74,29,41,142.5,63.5,3,1
47,76,39,56,120,79,2,2
133,62,72,47,452.5,110.5,12,3
81,42,63,34,184,60,2,2
78,68,50,42,319.5,50,7,1
109,75,54,41,380,62,9,1
50,74,22,62,282.5,98,5,2
29,26,23,25,141.5,17,2,1
95,10,40,7,421,10,6,1
115,46,61,40,467,78.5,6,3
1,6,1,4,139.5,20,2,2
38,22,29,19,180,23.5,5,2
147,77,64,51,318.5,84,2,3
58,NA,34,NA,331,NA,4,NA
31,NA,17,NA,159,NA,3,NA
