yearsTaught,yearsAdmin,skillWithTech,totalHits,totalSessions,totalTime,averageTime,relSearch,relIndex,relNotes,relNotesIndex,noteLength,noteLengthPerPAge,totalQ1
11,9,2,63,3,0,0,0.193333333,0.266666667,0.446666667,0.156666667,7292,115.7460317,0
6,0,1,146,12,2.066666667,0.172222222,0.106666667,0.153333333,0.333333333,0.106666667,0,0,3
8,0,3,189,7,5.933333333,0.847619048,0.13,0.166666667,0.11,0.073333333,0,0,2
3,0,2,162,8,4.583333333,0.572916667,0.12,0.143333333,0,0,6,0.037037037,5
8,0,2,54,1,5.733333333,5.733333333,0.156666667,0.166666667,0.056666667,0.036666667,0,0,3
15,0,2,117,4,0.9,0.225,0.11,0.153333333,0.2,0.206666667,737,6.299145299,6
10,0,2,136,9,3.316666667,0.368518519,0.12,0.16,0.556666667,0.203333333,2651,19.49264706,0
9,0,4,140,10,5.733333333,0.573333333,0.1,0.16,0.433333333,0.113333333,0,0,0
8,0,3,102,5,4.716666667,0.943333333,0.123333333,0.11,0.576666667,0.233333333,1888,18.50980392,1
9,0,3,69,2,2.833333333,1.416666667,0.12,0.143333333,0.383333333,0.203333333,964,13.97101449,2
7,0,2,95,1,1.783333333,1.783333333,0.113333333,0.166666667,0.583333333,0.236666667,99,1.042105263,0
14,0,2,28,1,1.15,1.15,0.276666667,0.286666667,0,0,0,0,0
10,6,4,63,1,2.183333333,2.183333333,0.09,0.12,0,0,0,0,0
10,0,3,60,0,1.5,0,0.16,0.23,0,0,0,0,3
11,0,2,115,15,1.016666667,0.067777778,0.133333333,0.203333333,0.61,0.1,0,0,2
20,5,3,166,7,6.7,0.957142857,0.113333333,0.153333333,0.31,0.13,0,0,2
3,0,2,120,3,3.9,1.3,0.106666667,0.133333333,0,0,0,0,0
12,0,2,49,1,2.6,2.6,0.14,0.17,0.626666667,0.183333333,4016,81.95918367,7
6,0,4,133,1,0.916666667,0.916666667,0.076666667,0.113333333,0.236666667,0.16,868,6.526315789,6
14,2,2,208,4,1.066666667,0.266666667,0.12,0.163333333,0.2,0.056666667,1248,6,4
5,0,3,50,0,2.866666667,0,0.1,0.133333333,0.81,0.186666667,2287,45.74,0
15,0,4,136,7,0,0,0.113333333,0.14,0.056666667,0.01,0,0,7
5,0,2,41,0,3.333333333,0,0.18,0.16,0,0,0,0,2
19,0,2,125,0,0.8,0,0.106666667,0.133333333,0,0,0,0,1
7,0,1,14,0,1.766666667,0,0.186666667,0.313333333,0.486666667,0.133333333,0,0,2
8,0,2,93,2,0.083333333,0.041666667,0.13,0.186666667,0.333333333,0.053333333,651,7,2
25,0,4,71,1,1.233333333,1.233333333,0.053333333,0.073333333,0.083333333,0.02,743,10.46478873,2
4,0,4,112,8,0.35,0.04375,0.12,0.146666667,0.633333333,0.27,2175,19.41964286,0
2,0,4,186,9,4.6,0.511111111,0.12,0.126666667,0,0,0,0,5
10,0,2,55,3,4.916666667,1.638888889,0.123333333,0.133333333,0.623333333,0.173333333,3946,71.74545455,1
0,0,2,214,12,2.95,0.245833333,0.25,0.286666667,0.386666667,0.2,8049,37.61214953,0
15,0,2,18,3,6.2,2.066666667,0.12,0.133333333,0.276666667,0.076666667,0,0,3
11,4,3,148,0,0,NaN,0.143333333,0.183333333,0,0,0,0,0
15,2,2,113,5,1.25,0.25,0.123333333,0.14,0.066666667,0.043333333,341,3.017699115,0
6,4,3,47,1,3.283333333,3.283333333,0.14,0.17,0.246666667,0.126666667,431,9.170212766,1
22,9,2,113,2,1.35,0.675,0.106666667,0.133333333,0.476666667,0.14,0,0,7
10,2,2,50,1,2.116666667,2.116666667,0.123333333,0.236666667,0.043333333,0.166666667,0,0,2
5,4,2,50,0,1.233333333,0,0.15,0.146666667,0.473333333,0.523333333,45,0.9,1
5,0,2,110,11,1.233333333,0.112121212,0.116666667,0.183333333,0.21,0.056666667,0,0,1
10,2,2,62,6,5.283333333,0.880555556,0.113333333,0.173333333,0.463333333,0.186666667,2962,47.77419355,2
19,5,3,57,0,3.916666667,0,0.13,0.153333333,0,0,0,0,0
18,4,3,44,1,0.683333333,0.683333333,0.156666667,0.17,0.523333333,0.143333333,1850,42.04545455,0
11,7,3,107,1,1.033333333,1.033333333,0.113333333,0.133333333,0.81,0.17,7728,72.22429907,0
10,8,2,115,1,1.933333333,1.933333333,0.106666667,0.163333333,0,0,0,0,6
23,3,2,36,1,2.333333333,2.333333333,0.106666667,0.123333333,0,0,0,0,0
10,4,2,57,0,0.65,0,0.126666667,0.13,0,0,0,0,3
0,6,4,43,3,1.25,0.416666667,0.163333333,0.196666667,0,0,0,0,2
6,2,3,34,3,2.733333333,0.911111111,0.163333333,0.216666667,0,0,0,0,0
5,0,3,137,4,1.433333333,0.358333333,0.126666667,0.153333333,0.066666667,0.026666667,1232,8.99270073,1
10,0,3,133,10,2.9,0.29,0.186666667,0.21,0.276666667,0.186666667,3068,23.06766917,2
1,0,3,74,1,5.916666667,5.916666667,0.12,0.143333333,0,0,0,0,0
2,0,3,52,1,1.116666667,1.116666667,0.16,0.163333333,0.056666667,0.333333333,0,0,1
15,0,4,91,6,1.033333333,0.172222222,0.086666667,0.126666667,0,0,0,0,1
10,6,1,249,10,3.566666667,0.356666667,0.096666667,0.12,0.5,0.096666667,746,2.995983936,1
0,0,2,39,2,6.283333333,3.141666667,0.213333333,0.32,0,0,0,0,0
0,0,2,106,0,0.8,0,0.053333333,0.093333333,0.056666667,0.056666667,0,0,4
6,0,3,102,7,0.483333333,0.069047619,0.103333333,0.113333333,0.073333333,0.11,0,0,1
17,14,3,89,3,4.116666667,1.372222222,0.11,0.146666667,0.376666667,0.153333333,6938,77.95505618,0
8,3,2,22,2,2.233333333,1.116666667,0.126666667,0.15,0,0,0,0,1
3,0,2,72,2,1.066666667,0.533333333,0.116666667,0.14,0,0,0,0,2
3,0,3,73,5,1.616666667,0.323333333,0.146666667,0.186666667,0.286666667,0.536666667,2405,32.94520548,4
13,13,3,66,4,2.95,0.7375,0.116666667,0.153333333,0.11,0.03,683,10.34848485,1
0,0,3,44,2,2.633333333,1.316666667,0.123333333,0.096666667,0.666666667,0.25,1785,40.56818182,0
5,0,4,50,0,1.733333333,0,0.086666667,0.11,0.75,0.12,3227,64.54,4
10,0,2,60,0,1.233333333,0,0.126666667,0.143333333,0.333333333,0.203333333,114,1.9,0
8,0,3,81,2,0.483333333,0.241666667,0.133333333,0.16,0.19,0.163333333,1023,12.62962963,1
20,20,2,37,0,1.5,0,0.14,0.156666667,0,0,101,2.72972973,4
17,11,2,45,2,0.7,0.35,0.093333333,0.136666667,0.133333333,0.033333333,0,0,2
