Group,Relevant Pages,Readability,Length,Sentiment,Read time in minutes,durationFirst,lastPageFirst,hitsFirst,durationThird,lastPageThird,hitsThird,repeatHitsFirst,repeatHitsThird
About,2,36.5,164.75,13.25,0.59925,708.125,27.25,264.75,445,16.25,173.25,264.75,173.25
Curriculum and Assessment,1,46.75875,2680.875,12,9.7485,265.6875,5.25,191.125,137.3125,2.75,105.125,191.125,105.125
Intranet-Financial,1,73.5,182,2,0.662,438.5,14,110,422,15,88,110,88
Intranet-Policies,0,27,1508,8.5,5.4835,235.5,6,120,142,3.5,81,120,81
Intranet-StaffData,1,-18.325,191.5,3.25,0.69625,283.375,5,184.25,174.5,4.25,117.25,184.25,117.25
Intranet-StudentData,3,6.766666667,79,-0.333333333,0.287333333,298.1666667,5,180,183.8333333,4,104.3333333,180,104.3333333
Professional Development,0,32.77142857,207.8571429,16.28571429,0.755857143,165.9285714,4,129.5,84.25,2.214285714,58.07142857,129.5,58.07142857
School Community Connections,2,42.75,128.6666667,25.83333333,0.467833333,167.6666667,2.5,152.1666667,117.6666667,2.166666667,103.8333333,152.1666667,103.8333333
Staff,1,56.96363636,181,12.63636364,0.658363636,192,2.181818182,178.1818182,144.7727273,2.545454545,120.4545455,178.1818182,120.4545455
Students,3,48.64,89.6,11.6,0.326,356.8,6.6,245.8,286.9,7.4,161.8,245.8,161.8
Technology Infrastructure,0,46.53333333,387.3333333,11.33333333,1.4085,108.3333333,1.916666667,93.83333333,86.45833333,1.75,66.83333333,93.83333333,66.83333333
