Page,Group,1,0,Readability,Length,Sentiment,Read time in minutes
abo_facilities.htm,About,0,0,56.6,174,22,0.633
abo_facilities_map.htm,About,0,0,10,30,5,0.109
abo_mission.htm,About,0,1,33,78,23,0.284
abo_school.htm,About,1,1,46.4,377,3,1.371
cur_classroom.html,Curriculum and Assessment,0,0,51.3,126,9,0.458
cur_classroom_clip.html,Curriculum and Assessment,0,0,60.5,442,16,1.607
cur_classroom_talk.html,Curriculum and Assessment,0,0,68.7,252,10,0.916
cur_classroom_talk2.html,Curriculum and Assessment,0,0,47.3,210,15,0.764
cur_classroom_teacher.html,Curriculum and Assessment,0,0,45.4,2980,15,10.836
cur_computer.htm,Curriculum and Assessment,0,0,25.7,438,13,1.593
cur_sequence.htm,Curriculum and Assessment,1,0,45.1,11381,9,41.385
cur_standards.htm,Curriculum and Assessment,0,0,30.07,5618,9,20.429
home.html,Home,0,0,43.3,88,15,0.32
intranet/fin_budget.html,Intranet-Financial,0,1,73.5,182,2,0.662
intranet/pol_instruct.html,Intranet-Policies,0,0,22.4,1231,13,4.476
intranet/pol_personne.html,Intranet-Policies,0,0,31.6,1785,4,6.491
intranet/sta_leadersh.html,Intranet-StaffData,0,0,-131.9,164,4,0.596
intranet/sta_staff_as.html,Intranet-StaffData,0,0,46,103,-2,0.375
intranet/sta_supervis.html,Intranet-StaffData,0,1,-12.2,252,1,0.916
intranet/sta_teacher_.html,Intranet-StaffData,0,0,24.8,247,10,0.898
intranet/stu_attendan.html,Intranet-StudentData,1,0,-35.7,115,-3,0.418
intranet/stu_discipli.html,Intranet-StudentData,1,0,-5.4,52,4,0.189
intranet/stu_grades__.html,Intranet-StudentData,1,1,61.4,70,-2,0.255
intranet/home.html,Intranet-Home,0,0,66.8,7,48,0.025
pro_leadership.html,Professional Development,0,0,5,202,11,0.735
pro_leadership_talk.html,Professional Development,0,0,58.3,318,15,1.156
pro_learncommunity.html,Professional Development,0,0,22.6,97,13,0.353
pro_learncommunity_talk.html,Professional Development,0,0,73.6,232,25,0.844
pro_process.html,Professional Development,0,0,7.5,147,16,0.535
pro_resources.html,Professional Development,0,0,9.7,76,11,0.276
pro_content.html,Professional Development,0,0,14.6,195,8,0.709
pro_data.html,Professional Development,0,0,42.9,199,12,0.724
pro_evaluation.html,Professional Development,0,0,46.7,163,20,0.593
pro_research.html,Professional Development,0,0,41.7,65,14,0.236
pro_design.html,Professional Development,0,0,41.6,115,43,0.418
pro_learning.html,Professional Development,0,0,42.4,172,24,0.625
pro_content_area.html,Professional Development,0,0,25.2,830,12,3.018
pro_collaboration.html,Professional Development,0,0,27,99,4,0.36
sch_business.html,School Community Connections,0,0,46.5,92,42,0.335
sch_business_artifact.html,School Community Connections,0,0,37.1,107,30,0.389
sch_community.html,School Community Connections,0,1,24.6,95,9,0.345
sch_family.html,School Community Connections,0,0,53.4,104,19,0.378
sch_family_artifact.html,School Community Connections,0,0,60,184,28,0.669
sch_higher.html,School Community Connections,0,1,34.9,190,27,0.691
sta_demographics_talk.htm,Staff,0,0,73.1,270,16,0.982
sta_demographics.htm,Staff,0,0,22.1,91,0,0.331
sta_contract.htm,Staff,0,0,67.6,155,3,0.564
sta_contract_talk.htm,Staff,0,0,71.2,164,11,0.596
sta_meetings.htm,Staff,0,0,35,147,20,0.535
sta_meetings_artifact.htm,Staff,0,0,53,350,2,1.273
sta_meetings_talk.htm,Staff,0,0,76.2,185,20,0.673
sta_schedule.htm,Staff,0,0,78.6,108,14,0.393
sta_leadership.htm,Staff,0,0,32.6,75,7,0.273
sta_leadership_talk.htm,Staff,0,0,75.1,220,21,0.8
sta_mentoring.htm,Staff,1,0,42.1,226,25,0.822
stu_demographics.htm,Students,1,0,39.8,89,18,0.324
stu_demographics_clip.htm,Students,1,0,37.7,107,23,0.389
stu_performance.htm,Students,1,1,53.1,132,6,0.48
stu_schedule.htm,Students,0,0,56.3,50,8,0.182
stu_leadership.htm,Students,0,0,56.3,70,3,0.255
stu_leadership_artifact.htm,Students,0,0,NA,NA,NA,NA
tec_classroom.html,Technology Infrastructure,0,0,43,141,23,0.513
tec_classroom_setup.html,Technology Infrastructure,0,0,33.7,1302,7,4.735
tec_community.html,Technology Infrastructure,0,0,47.2,288,6,1.047
tec_policies.html,Technology Infrastructure,0,0,21.3,379,11,1.378
tec_policies_clip.html,Technology Infrastructure,0,0,48.1,277,15,1.007
tec_schoolwide.html,Technology Infrastructure,0,0,61.5,86,6,0.313
tec_schoolwide_labs.html,Technology Infrastructure,0,0,44.4,796,3,2.895
tec_committee.html,Technology Infrastructure,0,0,31.6,129,7,0.469
tec_committee_talk.html,Technology Infrastructure,0,0,72.4,266,17,0.967
tec_plan.html,Technology Infrastructure,0,0,37.3,255,20,0.927
tec_support.html,Technology Infrastructure,0,0,43.4,477,11,1.735
tec_survey.html,Technology Infrastructure,0,0,74.5,252,10,0.916
