Page,relevantThird,relevantFirst,readability,length,sentiment,readTime,duration,lastPage,hits,expectedReadTime,readTimeDiff,weighedScores
abo_facilities.htm,0,0,56.6,174,22,0.633,821,17,381,241.173,579.827,0.050333029
abo_facilities_map.htm,0,0,10,30,5,0.109,77.5,0,99,10.791,66.709,0.01330096
abo_mission.htm,1,0,33,78,23,0.284,1785.5,62,616,174.944,1610.556,0.082312709
abo_school.htm,1,1,46.4,377,3,1.371,1582,64,656,899.376,682.624,0.080752123
cur_classroom.html,0,0,51.3,126,9,0.458,1216,23,760,348.08,867.92,0.088474346
cur_classroom_clip.html,0,0,60.5,442,16,1.607,67,0,110,176.77,-109.77,0.014829848
cur_classroom_talk.html,0,0,68.7,252,10,0.916,102.5,1,132,120.912,-18.412,0.015340187
cur_classroom_talk2.html,0,0,47.3,210,15,0.764,47.5,0,89,67.996,-20.496,0.014079607
cur_classroom_teacher.html,0,0,45.4,2980,15,10.836,103,0,174,1885.464,-1782.464,0.020666691
cur_computer.htm,0,0,25.7,438,13,1.593,329.5,2,264,420.552,-91.052,0.02721889
cur_sequence.htm,0,1,45.1,11381,9,41.385,626,16,404,16719.54,-16093.54,0.038904934
cur_standards.htm,0,0,30.07,5618,9,20.429,696.5,19,437,8927.473,-8230.973,0.046314151
home.html,0,0,43.3,88,15,0.32,1184,102,296,94.72,1089.28,0.044676132
intranet/fin_budget.html,1,0,73.5,182,2,0.662,257,4,198,131.076,125.924,0.029131713
intranet/pol_instruct.html,0,0,22.4,1231,13,4.476,234,2,231,1033.956,-799.956,0.02944614
intranet/pol_personne.html,0,0,31.6,1785,4,6.491,201.5,0,171,1109.961,-908.461,0.019968877
intranet/sta_leadersh.html,0,0,-131.9,164,4,0.596,255,0,272,162.112,92.888,0.033662529
intranet/sta_staff_as.html,0,0,46,103,-2,0.375,348.5,3,309,115.875,232.625,0.041308764
intranet/sta_supervis.html,1,0,-12.2,252,1,0.916,433.5,2,333,305.028,128.472,0.042218178
intranet/sta_teacher_.html,0,0,24.8,247,10,0.898,384.5,1,292,262.216,122.284,0.037318008
intranet/stu_attendan.html,0,1,-35.7,115,-3,0.418,278,0,242,101.156,176.844,0.027914283
intranet/stu_discipli.html,0,1,-5.4,52,4,0.189,208,0,278,52.542,155.458,0.0334463
intranet/stu_grades__.html,1,1,61.4,70,-2,0.255,324,1,334,85.17,238.83,0.040983776
intranet/home.html,0,0,66.8,7,48,0.025,1366,21,669,16.725,1349.275,0.085577901
pro_leadership.html,0,0,5,202,11,0.735,433.5,11,312,229.32,204.18,0.034715881
pro_leadership_talk.html,0,0,58.3,318,15,1.156,83,0,109,126.004,-43.004,0.013044502
pro_learncommunity.html,0,0,22.6,97,13,0.353,362.5,3,267,94.251,268.249,0.028903307
pro_learncommunity_talk.html,0,0,73.6,232,25,0.844,66,1,91,76.804,-10.804,0.011179532
pro_process.html,0,0,7.5,147,16,0.535,1404.5,56,742,396.97,1007.53,0.06884628
pro_resources.html,0,0,9.7,76,11,0.276,295.5,8,254,70.104,225.396,0.027265274
pro_content.html,0,0,14.6,195,8,0.709,717,27,404,286.436,430.564,0.049301712
pro_data.html,0,0,42.9,199,12,0.724,68.5,0,93,67.332,1.168,0.007151257
pro_evaluation.html,0,0,46.7,163,20,0.593,35.5,0,61,36.173,-0.673,0.005146766
pro_research.html,0,0,41.7,65,14,0.236,23,0,45,10.62,12.38,0.003892456
pro_design.html,0,0,41.6,115,43,0.418,24.5,0,48,20.064,4.436,0.003522762
pro_learning.html,0,0,42.4,172,24,0.625,24,0,40,25,-1,0.002857407
pro_content_area.html,0,0,25.2,830,12,3.018,111.5,1,111,334.998,-223.498,0.011112652
pro_collaboration.html,0,0,27,99,4,0.36,32,0,49,17.64,14.36,0.003453014
sch_business.html,0,0,46.5,92,42,0.335,299.5,5,263,88.105,211.395,0.034959142
sch_business_artifact.html,0,0,37.1,107,30,0.389,75,0,90,35.01,39.99,0.011524587
sch_community.html,1,0,24.6,95,9,0.345,812,18,530,182.85,629.15,0.058038584
sch_family.html,0,0,53.4,104,19,0.378,495,11,317,119.826,375.174,0.039670208
sch_family_artifact.html,0,0,60,184,28,0.669,70,0,114,76.266,-6.266,0.014406281
sch_higher.html,1,0,34.9,190,27,0.691,241,6,222,153.402,87.598,0.024464881
sta_demographics_talk.htm,0,0,73.1,270,16,0.982,138,0,159,156.138,-18.138,0.021598378
sta_demographics.htm,0,0,22.1,91,0,0.331,898.5,24,510,168.81,729.69,0.06849814
sta_contract.htm,0,0,67.6,155,3,0.564,494,13,372,209.808,284.192,0.046638881
sta_contract_talk.htm,0,0,71.2,164,11,0.596,97.5,0,134,79.864,17.636,0.015267898
sta_meetings.htm,0,0,35,147,20,0.535,684.5,8,513,274.455,410.045,0.06376852
sta_meetings_artifact.htm,0,0,53,350,2,1.273,107.5,0,139,176.947,-69.447,0.020426781
sta_meetings_talk.htm,0,0,76.2,185,20,0.673,74.5,0,133,89.509,-15.009,0.016688724
sta_schedule.htm,0,0,78.6,108,14,0.393,565,11,400,157.2,407.8,0.053916247
sta_leadership.htm,0,0,32.6,75,7,0.273,619.5,9,443,120.939,498.561,0.055273875
sta_leadership_talk.htm,0,0,75.1,220,21,0.8,101.5,0,155,124,-22.5,0.022269941
sta_mentoring.htm,0,1,42.1,226,25,0.822,405.5,4,327,268.794,136.706,0.038470529
stu_demographics.htm,0,1,39.8,89,18,0.324,954,21,551,178.524,775.476,0.06895044
stu_demographics_clip.htm,0,1,37.7,107,23,0.389,147.5,1,157,61.073,86.427,0.022229322
stu_performance.htm,1,1,53.1,132,6,0.48,1085,24,564,270.72,814.28,0.06592632
stu_schedule.htm,0,0,56.3,50,8,0.182,779.5,17,402,73.164,706.336,0.052570242
stu_leadership.htm,0,0,56.3,70,3,0.255,490,7,364,92.82,397.18,0.045307168
tec_classroom.html,0,0,43,141,23,0.513,360,7,289,148.257,211.743,0.033595869
tec_classroom_setup.html,0,0,33.7,1302,7,4.735,88.5,1,107,506.645,-418.145,0.012587006
tec_community.html,0,0,47.2,288,6,1.047,151,2,160,167.52,-16.52,0.0184752
tec_policies.html,0,0,21.3,379,11,1.378,182.5,1,185,254.93,-72.43,0.019965629
tec_policies_clip.html,0,0,48.1,277,15,1.007,49.5,0,67,67.469,-17.969,0.008021991
tec_schoolwide.html,0,0,61.5,86,6,0.313,425,13,279,87.327,337.673,0.030507373
tec_schoolwide_labs.html,0,0,44.4,796,3,2.895,62,0,91,263.445,-201.445,0.009040784
tec_committee.html,0,0,31.6,129,7,0.469,224.5,4,178,83.482,141.018,0.01966846
tec_committee_talk.html,0,0,72.4,266,17,0.967,54,0,84,81.228,-27.228,0.009164326
tec_plan.html,0,0,37.3,255,20,0.927,320.5,7,157,145.539,174.961,0.020888872
tec_support.html,0,0,43.4,477,11,1.735,152,1,164,284.54,-132.54,0.018988603
tec_survey.html,0,0,74.5,252,10,0.916,251.5,7,167,152.972,98.528,0.019181729
