student,assignment,first,totalPages,home.html,stu_demographics.htm,intranet/home.html,intranet/stu_discipli.html,intranet/stu_attendan.html,intranet/stu_grades__.html,intranet/sta_teacher_.html,intranet/sta_staff_as.html,intranet/sta_supervis.html,intranet/sta_leadersh.html,intranet/pol_personne.html,intranet/pol_instruct.html,intranet/fin_budget.html,stu_demographics_clip.htm,stu_performance.htm,stu_leadership.htm,stu_schedule.htm,cur_sequence.htm,abo_mission.htm,abo_school.htm,abo_facilities.htm,score,pro_learncommunity.html,pro_learncommunity_talk.html,pro_resources.html,pro_content.html,pro_leadership.html,pro_leadership_talk.html,pro_process.html,pro_data.html,pro_evaluation.html,pro_research.html,pro_design.html,pro_learning.html,tec_schoolwide.html,tec_schoolwide_labs.html,tec_classroom.html,tec_classroom_setup.html,tec_support.html,tec_plan.html,tec_survey.html,sta_leadership.htm,sta_leadership_talk.htm,sta_demographics.htm,sta_schedule.htm,abo_facilities_map.htm,sta_demographics_talk.htm,sta_mentoring.htm,sta_meetings.htm,sta_meetings_artifact.htm,sta_meetings_talk.htm,sta_contract.htm,sta_contract_talk.htm,cur_standards.htm,cur_computer.htm,cur_classroom.html,cur_classroom_clip.html,cur_classroom_talk.html,cur_classroom_talk2.html,cur_classroom_teacher.html,tec_community.html,tec_policies.html,tec_policies_clip.html,tec_committee.html,tec_committee_talk.html,sch_family.html,sch_family_artifact.html,sch_business.html,sch_business_artifact.html,sch_higher.html,sch_community.html,pro_content_area.html,pro_collaboration.html,stu_leadership_artifact.htm
3439,596,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3439,611,0,63,0.031746032,0.031746032,0.158730159,0.031746032,0.031746032,0.031746032,0.031746032,0.031746032,0.063492063,0.031746032,0.031746032,0.031746032,0.063492063,0,0.095238095,0,0,0,0.031746032,0.063492063,0,2,0.063492063,0.031746032,0.063492063,0.031746032,0.031746032,0.031746032,0.19047619,0.031746032,0.031746032,0.031746032,0.031746032,0.031746032,0.063492063,0.031746032,0.063492063,0.031746032,0.031746032,0.063492063,0.063492063,0.095238095,0.031746032,0.063492063,0.063492063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3486,580,1,101,0.089108911,0.059405941,0.059405941,0.02970297,0.02970297,0.02970297,0.02970297,0.02970297,0.02970297,0.02970297,0.02970297,0.02970297,0.059405941,0.02970297,0.02970297,0.02970297,0.02970297,0.02970297,0.178217822,0.02970297,0.059405941,3,0.02970297,0.02970297,0.02970297,0.02970297,0.059405941,0.02970297,0.118811881,0.02970297,0,0,0,0,0.02970297,0,0.059405941,0.02970297,0.02970297,0.02970297,0.059405941,0.059405941,0.02970297,0.059405941,0.059405941,0.02970297,0.02970297,0.02970297,0.089108911,0.02970297,0.02970297,0.059405941,0.02970297,0.02970297,0.02970297,0.148514851,0.02970297,0.02970297,0.02970297,0.02970297,0.02970297,0.059405941,0.02970297,0.02970297,0.02970297,0.089108911,0.02970297,0.059405941,0.02970297,0.059405941,0.148514851,0,0,0
3486,582,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3802,580,1,76,0.026315789,0.026315789,0.052631579,0.026315789,0.026315789,0.026315789,0.026315789,0.026315789,0.026315789,0.026315789,0.026315789,0.026315789,0.026315789,0.026315789,0.026315789,0.026315789,0.026315789,0.026315789,0.078947368,0.078947368,0.026315789,2,0.026315789,0.026315789,0.026315789,0.026315789,0.026315789,0,0.078947368,0.026315789,0,0,0,0,0.026315789,0,0.026315789,0,0.026315789,0.026315789,0.026315789,0.026315789,0.026315789,0.052631579,0.026315789,0.026315789,0.026315789,0.026315789,0.052631579,0,0,0.026315789,0.026315789,0.026315789,0.026315789,0.052631579,0,0,0,0.026315789,0.026315789,0.026315789,0.026315789,0.026315789,0,0.052631579,0.026315789,0.105263158,0.052631579,0.026315789,0.131578947,0,0,0
3802,582,0,189,0.010582011,0.021164021,0.031746032,0.005291005,0.005291005,0.010582011,0.005291005,0.005291005,0.005291005,0.005291005,0.010582011,0.005291005,0.005291005,0.015873016,0.047619048,0.026455026,0.015873016,0.010582011,0.063492063,0.031746032,0.031746032,1,0.010582011,0,0.010582011,0.010582011,0.010582011,0.005291005,0.021164021,0.005291005,0,0,0,0,0.021164021,0,0.021164021,0,0.021164021,0.005291005,0.010582011,0.015873016,0.005291005,0.015873016,0.031746032,0.010582011,0.005291005,0.015873016,0.026455026,0.005291005,0,0.021164021,0.010582011,0.015873016,0.021164021,0.026455026,0,0.005291005,0.005291005,0.005291005,0.026455026,0.021164021,0.005291005,0.021164021,0.005291005,0.026455026,0.015873016,0.026455026,0.021164021,0.021164021,0.042328042,0,0,0
3803,580,1,45,0.333333333,0.222222222,0.333333333,0.111111111,0.111111111,0.222222222,0.222222222,0.111111111,0.333333333,0.111111111,0.111111111,0.111111111,0.111111111,0,0.111111111,0,0,0.111111111,0.222222222,0.111111111,0.111111111,5,0,0,0.111111111,0.111111111,0.111111111,0,0,0,0,0,0,0,0.111111111,0,0.111111111,0.111111111,0,0,0,0.111111111,0,0.222222222,0.111111111,0,0,0.111111111,0.111111111,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0.111111111,0.111111111,0,0,0
3803,582,0,162,0.024691358,0.074074074,0.24691358,0.098765432,0.024691358,0.148148148,0.074074074,0.049382716,0.049382716,0,0,0.049382716,0.024691358,0,0.172839506,0.12345679,0.197530864,0.074074074,0.12345679,0.12345679,0.049382716,4,0,0,0.024691358,0.024691358,0.024691358,0,0.098765432,0,0,0,0,0,0.049382716,0,0.049382716,0,0.049382716,0.024691358,0.074074074,0.148148148,0.024691358,0.148148148,0.197530864,0,0,0.074074074,0.074074074,0.024691358,0.024691358,0.049382716,0.024691358,0.12345679,0.074074074,0.12345679,0,0.024691358,0.024691358,0.024691358,0.049382716,0.024691358,0.024691358,0.024691358,0.024691358,0.12345679,0,0.148148148,0,0.074074074,0.12345679,0.024691358,0.024691358,0
3805,592,1,51,0.058823529,0.058823529,0.176470588,0.117647059,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.176470588,0.117647059,0.117647059,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0.058823529,0.058823529,0,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0,0,0,0,0.411764706,0.058823529,0,0,0,0,0,0,0,0,0,0,0.117647059,0.058823529,0.058823529,0,0.058823529,0.117647059,0,0,0
3805,612,0,54,0.037037037,0.037037037,0.111111111,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.074074074,0.037037037,0,0.037037037,0.037037037,0,0.037037037,0.037037037,0,0,0.111111111,0.111111111,0.074074074,2,0,0,0.111111111,0.148148148,0.037037037,0,0.222222222,0.074074074,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0.037037037,0,0,0.037037037,0,0.037037037,0,0.037037037,0,0,0,0.037037037,0,0,0,0,0,0.074074074,0,0.037037037,0,0,0.037037037,0.074074074,0,0
3806,580,1,93,0.064516129,0.129032258,0,0,0,0,0,0,0,0,0,0,0,0.129032258,0.129032258,0.193548387,0.193548387,0.322580645,0,0,0,6,0.064516129,0.064516129,0.064516129,0.258064516,0.064516129,0.064516129,0.193548387,0.064516129,0,0,0.064516129,0,0.129032258,0.064516129,0.322580645,0.129032258,0.193548387,0.064516129,0.064516129,0.129032258,0,0.193548387,0.129032258,0,0.064516129,0.129032258,0.129032258,0,0,0.322580645,0.129032258,0.064516129,0.064516129,0.451612903,0.064516129,0.064516129,0.064516129,0.193548387,0.064516129,0.064516129,0,0.064516129,0,0.129032258,0.064516129,0.129032258,0.064516129,0,0.064516129,0.129032258,0,0
3806,582,0,117,0.034188034,0.136752137,0.068376068,0.034188034,0.034188034,0.034188034,0.034188034,0.034188034,0.034188034,0.034188034,0,0.034188034,0.034188034,0.034188034,0.239316239,0.034188034,0.034188034,0.034188034,0.102564103,0.136752137,0.102564103,4,0.034188034,0,0.034188034,0.034188034,0.068376068,0.034188034,0.376068376,0.068376068,0.068376068,0.068376068,0.034188034,0.034188034,0.068376068,0.034188034,0.068376068,0.034188034,0.034188034,0.034188034,0.034188034,0.068376068,0.034188034,0.068376068,0.034188034,0.068376068,0.034188034,0.034188034,0.068376068,0.034188034,0.034188034,0.068376068,0.034188034,0.034188034,0.034188034,0.170940171,0.034188034,0.068376068,0.034188034,0.034188034,0.034188034,0.068376068,0.034188034,0.068376068,0.034188034,0.068376068,0.034188034,0.068376068,0.034188034,0.034188034,0.068376068,0,0.034188034,0
3809,580,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3809,582,0,136,0.044117647,0.132352941,0.044117647,0.044117647,0.044117647,0.044117647,0.044117647,0.044117647,0.044117647,0.044117647,0.044117647,0.044117647,0.044117647,0.088235294,0.088235294,0.044117647,0.044117647,0.044117647,0.044117647,0.132352941,0.044117647,6,0.088235294,0.044117647,0.044117647,0.088235294,0.088235294,0.044117647,0.529411765,0.044117647,0.044117647,0.044117647,0.044117647,0.044117647,0.132352941,0.044117647,0.088235294,0.044117647,0.044117647,0.176470588,0.308823529,0.088235294,0.044117647,0.088235294,0.088235294,0,0.044117647,0.088235294,0.132352941,0.044117647,0.044117647,0.088235294,0.044117647,0.176470588,0.044117647,0.397058824,0.088235294,0.088235294,0.088235294,0.044117647,0.088235294,0.088235294,0.044117647,0.044117647,0.044117647,0.088235294,0.044117647,0.220588235,0.088235294,0.044117647,0.220588235,0.044117647,0.044117647,0
3810,580,1,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
