totalHits,totalLow,totalHigh,totalUniqueLow,totalUniqueHigh,Step1QTotal
63,34,6,19,3,0
146,101,29,40,5,3
189,129,39,43,5,2
162,104,25,38,5,5
54,29,8,16,4,3
117,79,17,47,5,6
136,106,12,48,5,0
140,94,12,35,3,0
102,77,8,45,5,1
69,47,10,34,5,2
95,69,12,43,5,0
28,11,6,5,3,0
63,47,5,33,3,0
60,37,8,24,3,3
115,65,30,21,5,2
166,114,22,49,5,2
120,86,18,47,5,0
49,16,14,12,5,7
133,89,18,42,3,6
208,144,26,42,5,4
50,32,5,32,5,0
136,97,12,44,5,7
41,20,7,15,4,2
125,88,15,46,5,1
14,2,9,2,2,2
93,70,7,47,3,2
71,52,7,42,4,2
112,83,12,35,3,0
186,138,13,49,5,5
55,37,6,30,4,1
214,140,32,42,5,0
18,10,1,6,1,3
148,102,16,37,5,0
113,82,8,45,5,0
47,30,10,24,4,1
113,89,7,47,5,7
50,24,13,18,4,2
50,34,7,30,4,1
110,84,18,29,4,1
62,43,10,15,2,2
57,35,9,25,5,0
44,34,9,30,5,0
107,75,14,47,5,0
115,70,21,36,4,6
36,13,4,8,2,0
57,34,5,19,3,3
43,24,8,6,3,2
34,17,13,14,4,0
137,84,16,35,5,1
133,77,21,27,3,2
74,54,9,45,5,0
52,34,6,29,5,1
91,30,17,16,4,1
249,170,27,49,5,1
39,30,8,29,5,0
106,72,15,45,5,4
102,63,6,26,3,1
89,60,10,42,4,0
22,5,2,4,2,1
72,37,11,20,3,2
73,53,8,35,5,4
66,28,9,14,3,1
44,33,3,21,3,0
50,27,6,23,4,4
60,42,8,29,5,0
81,42,16,28,5,1
37,25,7,16,4,4
45,32,11,22,5,2
